id_output,Name,Stage,Type,image,Rarity,Spawn Restriction,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number
Temporal Rift_25,Eskiddo,Stage 1,Wind,Eskiddo.png,1,,Cryobbit,30,66,60,67,77,270,Frost Nudge,31,1,,,Snowbound Swipe,48,4,,,,,,,,,,,,
Temporal Rift_26,Cryobbit,Stage 2,Wind,Cryobbit.png,,,,,70,73,78,89,310,Frost Nudge,31,1,,,Snowbound Swipe,48,4,,,Chill Charge,0,6,Buff self attack,35%,Cryo Leap,68,9,,
Temporal Rift_27,Cacklair,Stage 1,Wind,Cacklair.png,2,,Snickurl,30,70,50,70,56,246,Cackle Peck,32,1,,,Air Snicker,40,4,,,,,,,,,,,,
Temporal Rift_28,Snickurl,Stage 2,Wind,Snickurl.png,,,,,82,82,82,70,316,Cackle Peck,32,1,,,Air Snicker,40,4,,,Wind Tease,40,6,Debuff opponent speed,30%,Gusty Giggle,67,8,,
Temporal Rift_29,Zephyraun,Stage 2,Wind,Zephyraun.png,,,,,80,80,80,80,320,Gentle Blow,22,1,,,Flying Roar,42,4,,,Mind Down,0,7,debuff opponent speed,45%,Last Fatale,79,10,,
Temporal Rift_30,Glidroot,Stage 2,Wind,Glidroot.png,,,,,90,83,67,81,321,Mossy Lure,22,1,,,Wet Leafage,33,2,Heal self,20,Deep Rooting,57,7,,,Tricky Blow,51,10,"buff self attack, speed",20%
Temporal Rift_31,Faygoal Wind,Stage 1,Wind,Faygoal Wind.png,4,,,,65,77,65,88,295,Faygust,37,1,,,Wind Goal,65,4,Buff opponent attack,30%,Sky Pulse,62,6,,,Aerial Crest,71,9,,
Temporal Rift_32,Flakette,Stage 1,Neutral,Flakette.png,1,,,,53,46,51,50,200,Sugary Kiss,22,1,,,Secluded Pastry,41,3,,,Buttery Buffer,25,5,Buff self attack,25%,Flaky Bounce,66,8,,
Temporal Rift_33,Canelette,Stage 1,Neutral,Canelette.png,1,,,,50,53,46,51,200,Sugary Kiss,22,1,,,Secluded Pastry,41,3,,,Slimy Buffer,25,5,Buff self defence,25%,Flaky Bounce,66,8,,
Temporal Rift_34,Rollinette,Stage 1,Neutral,Rollinette.png,1,,,,46,51,50,53,200,Sugary Kiss,22,1,,,Secluded Pastry,41,3,,,Frieze Buffer,25,5,Buff self speed,25%,Flaky Bounce,66,8,,
Temporal Rift_35,Anukibi,Stage 1,Neutral,Anukibi.png,2,walked today > 2,Anukara,25,63,57,59,60,239,Kibi Jab,25,1,,,Anu Strike,53,3,,,Twin Spirit Boost,0,6,"Buff self attack, speed",20%,,,,,
Temporal Rift_36,Anukara,Stage 2,Neutral,Anukara.png,,,Anukalith,50,66,89,62,80,297,Kibi Jab,25,1,,,Anu Strike,53,3,,,Twin Spirit Boost,0,6,"Buff self attack, speed",20%,,,,,
Temporal Rift_37,Anukalith,Stage 3,Neutral,Anukalith.png,,,,,70,103,78,90,341,Kibi Jab,25,1,,,Anu Strike,53,3,,,Twin Spirit Boost,0,6,"Buff self attack, speed",20%,Desert Dash,72,8,,
Temporal Rift_38,Harpuddle,Stage 1,Neutral,Harpuddle.png,4,Temperature < 10,,,98,79,102,40,319,Harp Pluck,30,1,,,Puddle Pop,43,3,,,Liquid Chord,59,5,,,Harmony Surge,0,10,"Buff self, attack, speed, defence",25%
Temporal Rift_39,Terruffian,Stage 1,Neutral,Terruffian.png,2,,Yawnshire,25,62,53,43,65,223,Ruff Slam,31,1,,,,,,,,,,,,,,,,,
Temporal Rift_40,Yawnshire,Stage 2,Neutral,Yawnshire.png,,,,,109,61,123,43,336,Ruff Slam,31,1,,,Stone Guard,0,2,Buff self defence,20%,Terra Bite,58,7,,,Ruffquake,76,8,Debuff self speed,35%
Temporal Rift_41,Snoozoth,Stage 1,Neutral,Snoozoth.png,3,Day = Monday,,,120,34,132,10,296,Drowsy Tap,25,1,,,Slumber Swipe,36,2,,,Nap Roll,61,6,,,Doze Heal,40,8,Heal self,30
Temporal Rift_42,Nibblink,Stage 1,Neutral,Nibblink.png,3,,Earloam,25,50,40,60,50,200,Nibble Pop,29,1,,,Blink Bash,40,3,,,,,,,,,,,,
Temporal Rift_43,Earloam,Stage 2,Neutral,Earloam.png,,,,,90,74,82,66,312,Nibble Pop,29,1,,,Blink Bash,40,3,,,Quick Gnaw,64,6,,,Rapid Nibble,75,9,,
Temporal Rift_44,Gazorilla,Stage 1,Neutral,Gazorilla.png,5,,,,119,96,102,43,360,Gaze Jab,30,1,,,Rilla Smash,56,3,,,Stare Down,66,7,,,Gorilla Crash,55,9,"Debuff opponent attack, speed",30%
Temporal Rift_45,Vulpetta,Stage 1,Neutral,Vulpetta.png,1,,"Noctivane, Zephyraun, Florvulpa, Rustarok",30,50,60,50,60,220,Gentle Blow,22,1,,,,,,,,,,,,,,,,,
Temporal Rift_46,Solyssa,Stage 1,Celestial,Solyssa.png,5,,,,81,111,87,81,360,Solar Tap,35,1,,,Lys Beam,43,2,,,Sunrise Surge,0,6,Buff self attack,35%,Radiant Mend,62,9,Heal self,25
Temporal Rift_47,Petitelo,Stage 1,Celestial,Petitelo.png,1,,Pomelune,25,67,62,49,78,256,Mini Bow,24,1,,,Cello Pulse,36,3,,,Healing Melody,0,7,Heal self,70,,,,,
Temporal Rift_48,Pomelune,Stage 2,Celestial,Pomelune.png,,,,,77,65,64,87,293,Mini Bow,24,1,,,Cello Pulse,36,3,,,Healing Melody,0,7,Heal self,70,Petite Crescendo,60,8,,
Temporal Rift_49,Florinelle,Stage 1,Celestial,Florinelle.png,2,,Lavandread,25,53,41,43,53,190,Bloom Tap,23,1,,,Flora Lash,45,3,,,,,,,,,,,,
Temporal Rift_50,Lavandread,Stage 2,Celestial,Lavandread.png,,,Thornaria,50,67,55,63,67,252,Bloom Tap,23,1,,,Flora Lash,45,3,,,,,,,,,,,,
Temporal Rift_51,Thornaria,Stage 3,Celestial,Thornaria.png,,,,,78,99,71,89,337,Bloom Tap,23,1,,,Flora Lash,45,3,,,Petal Dance,65,7,,,Garden Restore,61,10,Heal self,30
Temporal Rift_52,Solflare,Stage 1,Celestial,Solflare.png,3,Daylight = Daytime,,,84,97,57,92,330,Flare Tap,24,1,,,Solar Burst,48,4,,,Daylight Beam,60,6,,,Sunrise Dash,45,10,Buff self speed,40%
Temporal Rift_53,Noonette,Stage 1,Celestial,Noonette.png,1,,Anomortis,25,60,51,52,56,219,Noon Tap,31,1,,,Bright Swipe,50,4,,,,,,,,,,,,
Temporal Rift_54,Anomortis,Stage 2,Celestial,Anomortis.png,,,Noctonona,50,60,60,60,60,240,Noon Tap,31,1,,,Bright Swipe,50,4,,,Light Guard,0,5,Buff self defence,45%,,,,,
Temporal Rift_55,Noctonona,Stage 3,Celestial,Noctonona.png,,,,,82,88,80,80,330,Noon Tap,31,1,,,Bright Swipe,50,4,,,Light Guard,0,5,Buff self defence,45%,Midday Heal,61,9,Heal self,10
Temporal Rift_56,Craggit,Stage 1,Celestial,Craggit.png,3,Humidity > 75,,,85,45,140,30,300,Crag Hop,31,1,,,Stone Thump,53,4,,,Rock Boost,0,6,Buff self attack,40%,Granite Guard,60,9,Buff self defence,10%
Temporal Rift_57,Florvulpa,Stage 2,Celestial,Florvulpa.png,,,,,80,80,80,80,320,Gentle Blow,22,1,,,Fairy Roar,38,3,,,Mind On,0,7,Heal self,45,Last Recovery,79,9,buff opponent speed,25%
Temporal Rift_58,Funglet,Stage 1,Celestial,Funglet.png,2,,"Myceloroot, Glidroot",30,44,44,65,30,183,Mossy Lure,22,1,,,Wet Leafage,33,2,Heal self,20,,,,,,,,,,
Temporal Rift_59,Myceloroot,Stage 2,Celestial,Myceloroot.png,,,,,90,67,83,81,321,Mossy Lure,22,1,,,Wet Leafage,33,2,Heal self,20,Deep Rooting,57,7,,,Risky Spit,44,9,"buff self attack, defence",20%
Temporal Rift_60,Cogmite,Stage 1,Mechanic,Cogmite.png,1,,Gearachnid,25,45,66,76,65,252,Cog Tap,29,1,,,Gear Spin,0,4,Buff self speed,25%,Bolt Bash,55,7,,,,,,,
Temporal Rift_61,Gearachnid,Stage 2,Mechanic,Gearachnid.png,,,Dynaspanner,45,54,78,88,79,299,Cog Tap,29,1,,,Gear Spin,0,4,Buff self speed,25%,Bolt Bash,55,7,,,Metal Guard,63,10,Buff self defence,10%
Temporal Rift_62,Dynaspanner,Stage 3,Mechanic,Dynaspanner.png,,,,,62,98,102,82,344,Cog Tap,29,1,,,Gear Spin,0,4,Buff self speed,25%,Bolt Bash,55,7,,,Metal Guard,63,10,Buff self defence,10%
Temporal Rift_63,Tanglett,Stage 1,Mechanic,Tanglett.png,2,,Tangrash,25,71,56,70,56,253,Tangle Tap,31,1,,,Wire Whip,44,3,,,Net Snare,0,6,Debuff opponent defence,40%,Scrap Slam,70,9,,
Temporal Rift_64,Tangrash,Stage 2,Mechanic,Tangrash.png,,,,,77,104,72,60,313,Tangle Tap,31,1,,,Wire Whip,44,3,,,Net Snare,0,6,Debuff opponent defence,40%,Scrap Slam,70,9,,
Temporal Rift_65,Ignivault,Stage 1,Mechanic,Ignivault.png,4,,,,70,59,80,88,297,Ignition Jab,45,1,,,Spark Vault,33,2,Buff self speed,20%,Flare Crash,68,8,,,Overheat Spiral,88,10,"Debuff self attack, defence, speed",25%
Temporal Rift_66,Lemirron,Stage 1,Mechanic,Lemirron.png,3,,Smeldern,30,60,66,70,50,246,Iron Tap,32,1,,,Metal Swipe,42,4,,,Forge Boost,0,7,Buff self attack,35%,,,,,
Temporal Rift_67,Smeldern,Stage 2,Mechanic,Smeldern.png,,,,,88,80,86,60,314,Iron Tap,32,1,,,Metal Swipe,42,4,,,Forge Boost,0,7,Buff self attack,35%,Hammer Leap,66,8,,
Temporal Rift_68,Gridlet,Stage 1,Mechanic,Gridlet.png,2,grunts today > 2,Granigrit,25,56,49,66,81,252,Grid Tap,24,1,,,Spark Grid,47,3,,,,,,,,,,,,
Temporal Rift_69,Granigrit,Stage 2,Mechanic,Granigrit.png,,,,,77,87,76,90,330,Grid Tap,24,1,,,Spark Grid,47,3,,,Charge Burst,67,6,,,Power Node,65,10,Buff self attack,20%
Temporal Rift_70,Desklerk,Stage 1,Mechanic,Desklerk.png,3,"Day = Monday, Tuesday, Wednesday, Thursday, Friday & Hour between 9 and 5",,,84,79,84,68,315,Clerk Tap,27,1,,,Paper Cut,44,4,,,Office Slam,42,6,Buff self attack,30%,Desk Guard,41,8,Buff self defence,35%
Temporal Rift_71,Sanctuarch,Stage 1,Mechanic,Sanctuarch.png,5,Day = Sunday,,,115,70,115,60,360,Sanctu Jab,41,1,,,Holy Swipe,49,4,,,Arch Burst,69,6,,,Divine Crash,64,9,"Debuff opponent speed, defence",30%
Temporal Rift_72,Frymite,Stage 1,Mechanic,Frymite.png,3,,Voltfryer,30,59,59,67,55,240,Fry Tap,29,1,,,,,,,,,,,,,,,,,
Temporal Rift_73,Voltfryer,Stage 2,Mechanic,Voltfryer.png,,,,,90,102,87,60,339,Fry Tap,29,1,,,Sear Swipe,39,3,,,Heat Boost,0,7,Buff self speed,30%,Burn Burst,63,8,,
Temporal Rift_74,Rustarok,Stage 2,Mechanic,Rustarok.png,,,,,80,80,80,80,320,Gentle Blow,22,1,,,Steel Roar,33,5,,,Mind Off,0,7,debuff opponent defence,45%,Last Attempt,67,9,,
