id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Galactic Adventures_34.png,Pangomancer,Stage 2,Neutral,Pangomancer.png,,Pangodice,50,76,58,80,50,264,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_35.png,Pangodice,Stage 3,Neutral,Pangodice.png,,,,100,80,90,55,325,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_36.png,Mousuck,Stage 1,Neutral,Mousuck.png,2,Mousuckler,25,25,50,25,60,160,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_37.png,Mousuckler,Stage 2,Neutral,Mousuckler.png,,Mousucklord,50,45,70,45,70,230,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_38.png,Mousucklord,Stage 3,Neutral,Mousucklord.png,,,,65,90,65,80,300,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_39.png,Platypog,Stage 1,Neutral,Platypog.png,3,Fluffbill,30,50,50,50,50,200,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_40.png,Fluffbill,Stage 2,Neutral,Fluffbill.png,,,,90,67,77,55,289,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_41.png,Goggly,Stage 1,Neutral,Goggly.png,1,,,30,30,30,150,240,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_42.png,Cloudlet,Stage 1,Neutral,Cloudlet.png,2,Cloudboss,25,50,65,45,45,205,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_43.png,Cloudboss,Stage 2,Neutral,Cloudboss.png,,,,70,88,70,65,293,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_44.png,Sadotter,Stage 1,Neutral,Sadotter.png,3,Weeweep,25,60,45,50,40,195,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_45.png,Weeweep,Stage 2,Neutral,Weeweep.png,,Melanchote,50,82,56,81,43,262,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_46.png,Melanchote,Stage 3,Neutral,Melanchote.png,,,,105,82,90,44,321,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_47.png,Starraffe,Stage 1,Celestial,Starraffe.png,5,,,78,100,75,100,353,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_48.png,Trunket,Stage 1,Celestial,Trunket.png,2,Elefeir,25,80,50,50,25,205,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_49.png,Elefeir,Stage 2,Celestial,Elefeir.png,,Planterdon,50,100,65,56,25,246,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_50.png,Planterdon,Stage 3,Celestial,Planterdon.png,,,,130,73,90,30,323,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_51.png,Lumifloris,Stage 1,Celestial,Lumifloris.png,1,Photosynthra,25,33,70,45,54,202,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_52.png,Photosynthra,Stage 2,Celestial,Photosynthra.png,,,,57,98,66,68,289,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_53.png,Nebuleap,Stage 1,Celestial,Nebuleap.png,1,Comiscroaker,25,40,43,45,50,178,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_54.png,Comiscroaker,Stage 2,Celestial,Comiscroaker.png,,,,70,70,70,70,280,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_55.png,Crocasprout,Stage 1,Celestial,Crocasprout.png,3,Crocablade,20,60,65,70,45,240,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_56.png,Crocablade,Stage 2,Celestial,Crocablade.png,,Crocaterra,45,86,67,75,50,278,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_57.png,Crocaterra,Stage 3,Celestial,Crocaterra.png,,,,102,93,78,66,339,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_58.png,Beanling,Stage 1,Celestial,Beanling.png,3,Beanleaf,25,10,80,23,55,168,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_59.png,Beanleaf,Stage 2,Celestial,Beanleaf.png,,Beanknight,50,30,90,45,60,225,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_60.png,Beanknight,Stage 3,Celestial,Beanknight.png,,,,67,115,66,78,326,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_61.png,Astrollus,Stage 1,Celestial,Astrollus.png,4,,,83,82,89,90,344,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_62.png,Laugherry,Stage 1,Celestial,Laugherry.png,2,Gigglewood,25,25,20,50,55,150,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_63.png,Gigglewood,Stage 2,Celestial,Gigglewood.png,,,,67,65,64,100,296,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_64.png,Steellamb,Stage 1,Mechanic,Steellamb.png,2,Pigmoat,25,45,65,55,25,190,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_65.png,Pigmoat,Stage 2,Mechanic,Pigmoat.png,,,,78,78,76,60,292,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_66.png,Lithogarde,Stage 1,Mechanic,Lithogarde.png,2,Gallicore,25,66,54,88,25,233,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_67.png,Gallicore,Stage 2,Mechanic,Gallicore.png,,Notreclast,50,68,59,99,25,251,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_68.png,Notreclast,Stage 3,Mechanic,Notreclast.png,,,,76,78,111,30,295,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_69.png,Gearpup,Stage 1,Mechanic,Gearpup.png,1,Gearstrike,25,50,50,80,40,220,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_70.png,Gearstrike,Stage 2,Mechanic,Gearstrike.png,,,,66,67,89,79,301,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_71.png,Steelspirit,Stage 1,Mechanic,Steelspirit.png,4,,,60,70,111,78,319,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_72.png,Auregear,Stage 1,Mechanic,Auregear.png,3,Mechalumin,25,45,76,75,36,232,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_73.png,Mechalumin,Stage 2,Mechanic,Mechalumin.png,,Stilflare,50,67,67,84,56,274,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_74.png,Stilflare,Stage 3,Mechanic,Stilflare.png,,,,78,88,89,67,322,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_75.png,Metalmagma,Stage 1,Mechanic,Metalmagma.png,5,,,100,92,100,60,352,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_76.png,Gadgetrix,Stage 1,Mechanic,Gadgetrix.png,3,Teklash,35,64,60,68,60,252,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_77.png,Teklash,Stage 2,Mechanic,Teklash.png,,,,67,76,80,102,325,,,,,,,,,,,,,,,,,,,,
