id_output,Name,Stage,Type,Image,Rarity,Evolves to,Evolution candy
Elemental Awakening_29,Shadowflit,Stage 2,Wind,Shadowflit.png,,,
Elemental Awakening_30,Blushbat,Stage 1,Wind,Blushbat.png,1,Cerisebat,20
Elemental Awakening_31,Cerisebat,Stage 2,Wind,Cerisebat.png,,Flutterwing,40
Elemental Awakening_32,Flutterwing,Stage 3,Wind,Flutterwing.png,,,
Elemental Awakening_33,Dewmo,Stage 1,Neutral,Dewmo.png,4,,
Elemental Awakening_34,Baklavaff,Stage 1,Neutral,Baklavaff.png,3,Galaktikreme,30
Elemental Awakening_35,Galaktikreme,Stage 2,Neutral,Galaktikreme.png,,,
Elemental Awakening_36,Antheara East,Stage 1,Neutral,Antheara East.png,1,,
Elemental Awakening_37,Antheara West,Stage 1,Neutral,Antheara West.png,1,,
Elemental Awakening_38,Antheara North,Stage 1,Neutral,Antheara North.png,1,,
Elemental Awakening_39,Antheara South,Stage 1,Neutral,Antheara South.png,1,,
Elemental Awakening_40,Babybara,Stage 1,Neutral,Babybara.png,1,Carmibara,25
Elemental Awakening_41,Carmibara,Stage 2,Neutral,Carmibara.png,,Reddybara,50
Elemental Awakening_42,Reddybara,Stage 3,Neutral,Reddybara.png,,,
Elemental Awakening_43,Serafini,Stage 1,Neutral,Serafini.png,2,Serafina,25
Elemental Awakening_44,Serafina,Stage 2,Neutral,Serafina.png,,,
Elemental Awakening_45,Alpakina,Stage 1,Neutral,Alpakina.png,4,,
Elemental Awakening_46,Minkpaw,Stage 1,Neutral,Minkpaw.png,1,Furstream,20
Elemental Awakening_47,Furstream,Stage 2,Neutral,Furstream.png,,Lumbertail,40
Elemental Awakening_48,Lumbertail,Stage 3,Neutral,Lumbertail.png,,,
Elemental Awakening_49,Floonleef,Stage 1,Celestial,Floonleef.png,1,Aerobloom,25
Elemental Awakening_50,Aerobloom,Stage 2,Celestial,Aerobloom.png,,,
Elemental Awakening_51,Rosbud,Stage 1,Celestial,Rosbud.png,2,Rosalia,30
Elemental Awakening_52,Rosalia,Stage 2,Celestial,Rosalia.png,,,
Elemental Awakening_53,Verdanthorn,Stage 1,Celestial,Verdanthorn.png,4,,
Elemental Awakening_54,Faeclover,Stage 1,Celestial,Faeclover.png,2,Sunbloss,30
Elemental Awakening_55,Sunbloss,Stage 2,Celestial,Sunbloss.png,,,
Elemental Awakening_56,Aloebud,Stage 1,Celestial,Aloebud.png,3,Aloeflora,25
Elemental Awakening_57,Aloeflora,Stage 2,Celestial,Aloeflora.png,,Aloetide,50
Elemental Awakening_58,Aloetide,Stage 3,Celestial,Aloetide.png,,,
Elemental Awakening_59,Floretta,Stage 1,Celestial,Floretta.png,3,Lizaflora,30
Elemental Awakening_60,Lizaflora,Stage 2,Celestial,Lizaflora.png,,,
Elemental Awakening_61,Astromelon,Stage 1,Celestial,Astromelon.png,1,Lunamelon,20
Elemental Awakening_62,Lunamelon,Stage 2,Celestial,Lunamelon.png,,Orbitmelon,40
Elemental Awakening_63,Orbitmelon,Stage 3,Celestial,Orbitmelon.png,,,
Elemental Awakening_64,Voltveil,Stage 1,Mechanic,Voltveil.png,3,,
Elemental Awakening_65,Byteblade,Stage 1,Mechanic,Byteblade.png,4,,
Elemental Awakening_66,Venomgear,Stage 1,Mechanic,Venomgear.png,2,Toxiforge,30
Elemental Awakening_67,Toxiforge,Stage 2,Mechanic,Toxiforge.png,,,
Elemental Awakening_68,Envoye,Stage 1,Mechanic,Envoye.png,5,,
Elemental Awakening_69,Struto,Stage 1,Mechanic,Struto.png,2,Strutalon,30
Elemental Awakening_70,Strutalon,Stage 2,Mechanic,Strutalon.png,,,
Elemental Awakening_71,Ponimetal,Stage 1,Mechanic,Ponimetal.png,1,Equinix,25
Elemental Awakening_72,Equinix,Stage 2,Mechanic,Equinix.png,,Equinox,50
Elemental Awakening_73,Equinox,Stage 3,Mechanic,Equinox.png,,,
Elemental Awakening_74,Metamonk,Stage 1,Mechanic,Metamonk.png,4,,
Elemental Awakening_75,Aeglet,Stage 1,Mechanic,Aeglet.png,3,Aegiscelis,30
Elemental Awakening_76,Aegiscelis,Stage 2,Mechanic,Aegiscelis.png,,,
Elemental Awakening_77,Ghoulpole,Stage 1,Mechanic,Ghoulpole.png,1,Apparitron,20
Elemental Awakening_78,Apparitron,Stage 2,Mechanic,Apparitron.png,,Poltergnet,40
Elemental Awakening_79,Poltergnet,Stage 3,Mechanic,Poltergnet.png,,,
