id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number
Exclusive_30.png,Regaloma,Stage 2,Wind,Regaloma.png,,Imperialoma,60,77,60,78,66,281,Plaza Peck,40,1,,,Bell Chime Chirp,54,4,,,Tiny Trot,0,7,Debuff opponent speed,40%,,,,,
Exclusive_31.png,Imperialoma,Stage 3,Wind,Imperialoma.png,,,,88,65,90,79,322,Plaza Peck,40,1,,,Bell Chime Chirp,54,4,,,Tiny Trot,0,7,Debuff opponent speed,40%,Rooftop Ruffle,71,8,,
Exclusive_32.png,Chippa,Stage 1,Neutral,Chippa.png,3,Saltstormi,45,20,25,20,50,115,Chip Shot,25,1,Buff self defence,25%,,,,,,,,,,,,,,,
Exclusive_33.png,Saltstormi,Stage 2,Neutral,Saltstormi.png,,,,69,56,65,55,245,Chip Shot,25,1,Buff self defence,25%,Cobble Kick,30,4,Buff self attack,25%,Plucky Peck,35,5,Buff self speed,25%,Street Skitter,59,7,,
Exclusive_34.png,Tajmosmol,Stage 1,Neutral,Tajmosmol.png,4,Tajmoanger,35,60,60,60,60,240,Spice Swirl,25,1,Debuff opponent defence,20%,Curry Burst,30,4,Debuff opponent attack,20%,Bazaar Blaze,35,6,Debuff opponent speed,20%,,,,,
Exclusive_35.png,Tajmoanger,Stage 2,Neutral,Tajmoanger.png,,,,85,85,85,60,315,Spice Swirl,25,1,Debuff opponent defence,20%,Curry Burst,30,4,Debuff opponent attack,20%,Bazaar Blaze,35,6,Debuff opponent speed,20%,Saffron Spin,65,8,,
Exclusive_36.png,Omnifine,Stage 1,Neutral,Omnifine.png,5,,,90,99,60,110,359,Prism Surge,39,1,,,Spectrum Guard,61,4,,,Halo Cascade,30,6,Buff self attack,25%,Total Radiance,77,9,,
Exclusive_37.png,Saplick,Stage 1,Celestial,Saplick.png,3,Tongroove,45,60,56,45,66,227,Sap Sip,38,1,,,Honey Lash,56,4,,,Bark Bash,20,6,Heal self,40,,,,,
Exclusive_38.png,Tongroove,Stage 2,Celestial,Tongroove.png,,,,70,80,67,77,294,Sap Sip,38,1,,,Honey Lash,56,4,,,Bark Bash,20,6,Heal self,40,Forest Drizzle,71,8,,
Exclusive_39.png,Pagodillo,Stage 1,Celestial,Pagodillo.png,4,,,55,80,80,120,335,Pagoda Peck,41,1,,,Lantern Glide,52,4,,,Temple Tap,0,6,Heal self,60,Roofline Rush,66,9,,
Exclusive_40.png,Florabouche,Stage 1,Celestial,Florabouche.png,4,,,69,105,80,70,324,Petal Murmur,35,1,Heal self,10,Bloom Burst,45,4,Heal self,20,Perfume Veil,55,6,Heal self,30,Rosette Rondo,65,8,Heal self,40
Exclusive_41.png,Glintalon,Stage 1,Mechanic,Glintalon.png,4,,,77,77,77,90,321,Chrome Slash,20,1,Buff self defence,10%,Gilded Wing,35,4,,,Cathedral Cut,49,,,,Spire Dive,59,8,Buff self defence,35%
Exclusive_42.png,Aegithor,Stage 1,Mechanic,Aegithor.png,5,,,90,100,130,30,350,Shieldwing Bash,43,1,,,Aegis Roar,61,4,,,Bulwark Lunge,0,6,Debuff opponent defence,40%,Citadel Crush,78,8,,
Exclusive_43.png,Sprockub,Stage 1,Mechanic,Sprockub.png,3,Tinkursuh,45,70,67,67,50,254,Gear Peck,41,1,,,Cog Crunch,59,4,,,Steam Flutter,0,,Buff self defence,50%,,,,,
Exclusive_44.png,Tinkursuh,Stage 2,Mechanic,Tinkursuh.png,,,,93,80,89,68,330,Gear Peck,41,1,,,Cog Crunch,59,4,,,Steam Flutter,0,,Buff self defence,50%,Engine Rattle,71,9,,
