id_output,move1 name,move1_x,move1_level_x,move1 buff,move1 buff p,move2 name,move2_x,move2_level_x,move2 buff,move2 buff p,move3 name,move3_x,move3_level_x,move3 buff,move3 buff p,move4 name,move4_x,move4_level_x,move4 buff,move4 buff p,Name,Stage,Type,image,Rarity,Spawn Restriction,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,move1_level_y,move2_level_y,move3_level_y,move4_level_y,buff_move,move1_y,move2_y,move3_y,move4_y
Temporal Rift_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_27,,32,1.0,,,,40,2.0,,,,Buff,6.0,,,,67,8.0,,,Cacklair,Stage 1,Wind,Cacklair.png,2.0,,Snickurl,30.0,70.0,50.0,70.0,56.0,246.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,8.0,move3,32,40,Buff,67
Temporal Rift_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_31,,37,1.0,,,,Buff,3.0,,,,60,6.0,,,,68,9.0,,,Faygoal Wind,Stage 1,Wind,Faygoal Wind.png,4.0,,,,65.0,77.0,65.0,88.0,295.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,move2,37,Buff,60,68
Temporal Rift_32,,30,1.0,,,,54,2.0,,,,63,7.0,,,,Buff,8.0,,,Flakette,Stage 1,Neutral,Flakette.png,1.0,,,,53.0,46.0,51.0,50.0,200.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,7.0,8.0,move4,30,54,63,Buff
Temporal Rift_33,,33,1.0,,,,51,3.0,,,,Buff,5.0,,,,61,10.0,,,Canelette,Stage 1,Neutral,Canelette.png,1.0,,,,50.0,53.0,46.0,51.0,200.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,10.0,move3,33,51,Buff,61
Temporal Rift_34,,22,1.0,,,,48,3.0,,,,Buff,5.0,,,,66,8.0,,,Rollinette,Stage 1,Neutral,Rollinette.png,1.0,,,,46.0,51.0,50.0,53.0,200.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,8.0,move3,22,48,Buff,66
Temporal Rift_35,,25,1.0,,,,53,3.0,,,,Buff,6.0,,,,72,8.0,,,Anukibi,Stage 1,Neutral,Anukibi.png,2.0,walked today > 2,Anukara,25.0,63.0,57.0,59.0,60.0,239.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,8.0,move3,25,53,Buff,72
Temporal Rift_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_38,,30,1.0,,,,43,3.0,,,,58,5.0,,,,Buff,10.0,,,Harpuddle,Stage 1,Neutral,Harpuddle.png,4.0,Temperature < 10,,,98.0,79.0,102.0,40.0,319.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,10.0,move4,30,43,58,Buff
Temporal Rift_39,,31,1.0,,,,Buff,2.0,,,,58,7.0,,,,69,10.0,,,Terruffian,Stage 1,Neutral,Terruffian.png,2.0,,Yawnshire,25.0,62.0,53.0,43.0,65.0,223.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,7.0,10.0,move2,31,Buff,58,69
Temporal Rift_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_41,,25,1.0,,,,Buff,2.0,,,,61,6.0,,,,74,8.0,,,Snoozoth,Stage 1,Neutral,Snoozoth.png,3.0,Day = Monday,,,120.0,34.0,132.0,10.0,296.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,8.0,move2,25,Buff,61,74
Temporal Rift_42,,29,1.0,,,,Buff,3.0,,,,61,6.0,,,,75,9.0,,,Nibblink,Stage 1,Neutral,Nibblink.png,3.0,,Earloam,25.0,50.0,40.0,60.0,50.0,200.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,move2,29,Buff,61,75
Temporal Rift_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_44,,30,1.0,,,,61,3.0,,,,62,7.0,,,,Buff,8.0,,,Gazorilla,Stage 1,Neutral,Gazorilla.png,5.0,,,,119.0,96.0,102.0,43.0,360.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,8.0,move4,30,61,62,Buff
Temporal Rift_45,,27,1.0,,,,Buff,3.0,,,,67,6.0,,,,76,8.0,,,Vulpetta,Stage 1,Neutral,Vulpetta.png,1.0,,"Noctivane, Zephyraun, Florvulpa, Rustarok",30.0,50.0,60.0,50.0,60.0,220.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,8.0,move2,27,Buff,67,76
Temporal Rift_46,,35,1.0,,,,43,2.0,,,,Buff,6.0,,,,62,9.0,,,Solyssa,Stage 1,Celestial,Solyssa.png,5.0,,,,81.0,111.0,87.0,81.0,360.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,9.0,move3,35,43,Buff,62
Temporal Rift_47,,24,1.0,,,,Buff,3.0,,,,60,6.0,,,,60,8.0,,,Petitelo,Stage 1,Celestial,Petitelo.png,1.0,,Pomelune,25.0,67.0,62.0,49.0,78.0,256.0,,,1.0,,,,,,,,,0.0,7.0,Heal self,70.0,,,,,,0.0,7.0,Heal self,70.0,1.0,3.0,6.0,8.0,move2,24,Buff,60,60
Temporal Rift_48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_49,,23,1.0,,,,45,3.0,,,,Buff,7.0,,,,61,10.0,,,Florinelle,Stage 1,Celestial,Florinelle.png,2.0,,Lavandread,25.0,53.0,41.0,43.0,53.0,190.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,10.0,move3,23,45,Buff,61
Temporal Rift_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_52,,24,1.0,,,,48,4.0,,,,60,6.0,,,,Buff,10.0,,,Solflare,Stage 1,Celestial,Solflare.png,3.0,Daylight = Daytime,,,84.0,97.0,57.0,92.0,330.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,10.0,move4,24,48,60,Buff
Temporal Rift_53,,31,1.0,,,,52,4.0,,,,Buff,5.0,,,,61,9.0,,,Noonette,Stage 1,Celestial,Noonette.png,1.0,,Anomortis,25.0,60.0,51.0,52.0,56.0,219.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,9.0,move3,31,52,Buff,61
Temporal Rift_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_56,,31,1.0,,,,53,4.0,,,,Buff,6.0,,,,60,9.0,,,Craggit,Stage 1,Celestial,Craggit.png,3.0,Humidity > 75,,,85.0,45.0,140.0,30.0,300.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,9.0,move3,31,53,Buff,60
Temporal Rift_57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_58,,22,1.0,,,,44,2.0,,,,Buff,6.0,,,,63,9.0,,,Funglet,Stage 1,Celestial,Funglet.png,2.0,,"Myceloroot, Glidroot",30.0,44.0,44.0,65.0,30.0,183.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,9.0,move3,22,44,Buff,63
Temporal Rift_59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_60,,29,1.0,,,,Buff,4.0,,,,55,7.0,,,,63,10.0,,,Cogmite,Stage 1,Mechanic,Cogmite.png,1.0,,Gearachnid,25.0,45.0,66.0,76.0,65.0,252.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,10.0,move2,29,Buff,55,63
Temporal Rift_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_63,,31,1.0,,,,48,3.0,,,,Buff,6.0,,,,70,9.0,,,Tanglett,Stage 1,Mechanic,Tanglett.png,2.0,,Tangrash,25.0,71.0,56.0,70.0,56.0,253.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,move3,31,48,Buff,70
Temporal Rift_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_65,,45,1.0,,,,Buff,2.0,,,,68,6.0,,,,86,9.0,,,Ignivault,Stage 1,Mechanic,Ignivault.png,4.0,,,,70.0,59.0,80.0,88.0,297.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,9.0,move2,45,Buff,68,86
Temporal Rift_66,,32,1.0,,,,42,4.0,,,,Buff,7.0,,,,62,8.0,,,Lemirron,Stage 1,Mechanic,Lemirron.png,3.0,,Smeldern,30.0,60.0,66.0,70.0,50.0,246.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,8.0,move3,32,42,Buff,62
Temporal Rift_67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_68,,24,1.0,,,,47,3.0,,,,67,6.0,,,,Buff,9.0,,,Gridlet,Stage 1,Mechanic,Gridlet.png,2.0,grunts today > 2,Granigrit,25.0,56.0,49.0,66.0,81.0,252.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,move4,24,47,67,Buff
Temporal Rift_69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_70,,27,1.0,,,,44,3.0,,,,63,6.0,,,,Buff,8.0,,,Desklerk,Stage 1,Mechanic,Desklerk.png,3.0,"Day = Monday, Tuesday, Wednesday, Thursday, Friday & Hour between 9 and 5",,,84.0,79.0,84.0,68.0,315.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,8.0,move4,27,44,63,Buff
Temporal Rift_71,,42,1.0,,,,43,4.0,,,,69,6.0,,,,Buff,9.0,,,Sanctuarch,Stage 1,Mechanic,Sanctuarch.png,5.0,Day = Sunday,,,115.0,70.0,115.0,60.0,360.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,9.0,move4,42,43,69,Buff
Temporal Rift_72,,29,1.0,,,,42,2.0,,,,Buff,7.0,,,,63,8.0,,,Frymite,Stage 1,Mechanic,Frymite.png,3.0,,Voltfryer,30.0,59.0,59.0,67.0,55.0,240.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,7.0,8.0,move3,29,42,Buff,63
Temporal Rift_73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
