id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Galactic Adventures_14.png,Frostant,Stage 1,Mystic,Frostant.png,4,,,70,80,76,76,154,Frost Chant,30,1,,,Crystal Echo,0,3,Attack,40%,Mystic Chill,53,6,,,Glacial Pulse,71,10,,
Galactic Adventures_15.png,Airsting,Stage 1,Wind,Airsting.png,1,Breezebuzz,25,50,50,50,69,74,Breeze Jab,26,1,,,Wind Sting,0,3,Speed,40%,Gust Spiral,48,6,,,,,,,
Galactic Adventures_16.png,Breezebuzz,Stage 2,Wind,Breezebuzz.png,,,,60,80,80,96,136,Breeze Jab,26,1,,,Wind Sting,0,3,Speed,40%,Gust Spiral,48,6,,,Sky Flick,62,9,,
Galactic Adventures_17.png,Skybee,Stage 1,Wind,Skybee.png,1,Zephyrbuzz,25,50,50,50,69,71,Cloud Buzz,27,1,,,Sky Swarm,44,3,,,,,,,,,,,,
Galactic Adventures_18.png,Zephyrbuzz,Stage 2,Wind,Zephyrbuzz.png,,,,80,80,60,96,136,Cloud Buzz,27,1,,,Sky Swarm,44,3,,,Wind Hover,0,6,Speed,45%,Gale Dart,65,8,,
Galactic Adventures_19.png,Hoatzion,Stage 1,Wind,Hoatzion.png,4,,,89,80,80,80,156,Feather Rush,36,1,,,Skybound Cry,51,5,,,Wind Shield,0,7,Defence,45%,Horizon Burst,69,9,,
Galactic Adventures_20.png,Electrogriff,Stage 1,Wind,Electrogriff.png,5,,,100,102,80,78,163,Thunder Wing,35,1,,,Volt Gust,0,4,Attack,50%,Storm Peck,49,5,,,Spark Cyclone,79,9,,
Galactic Adventures_21.png,Cockeriel,Stage 1,Wind,Cockeriel.png,2,Cockatrike,25,30,25,30,70,54,Chirp Strike,17,1,,,Wing Rattle,37,4,,,,,,,,,,,,
Galactic Adventures_22.png,Cockatrike,Stage 2,Wind,Cockatrike.png,,Cockarion,50,70,60,36,88,54,Chirp Strike,17,1,,,Wing Rattle,37,4,,,,,,,,,,,,
Galactic Adventures_23.png,Cockarion,Stage 3,Wind,Cockarion.png,,,,100,104,40,99,132,Chirp Strike,17,1,,,Wing Rattle,37,4,,,Gust Peck,0,5,Attack,45%,Roost Bash,78,9,,
Galactic Adventures_24.png,Tielzor,Stage 1,Wind,Tielzor.png,4,,,100,100,50,98,145,Sonic Tail,33,1,,,Wind Slash,53,5,,,Gale Twist,59,7,,,Sky Cutter,0,9,Attack,45%
Galactic Adventures_25.png,Eclipso,Stage 1,Wind,Eclipso.png,3,Astraea,30,60,67,60,88,74,Eclipse Dash,29,1,,,Shadow Breeze,0,3,Speed,40%,Lunar Gust,45,7,,,,,,,
Galactic Adventures_26.png,Astraea,Stage 2,Wind,Astraea.png,,,,78,78,78,103,144,Eclipse Dash,29,1,,,Shadow Breeze,0,3,Speed,40%,Lunar Gust,45,7,,,Nightfall Drift,70,8,,
Galactic Adventures_27.png,Quirkquack,Stage 1,Wind,Quirkquack.png,3,,,87,67,70,56,147,Quirk Peck,28,1,,,Whirl Quack,44,3,,,Breeze Bounce,0,6,Defence,50%,Odd Gust,75,9,,
Galactic Adventures_28.png,Anter,Stage 1,Neutral,Anter.png,2,Antoro,20,50,62,44,76,19,Ant March,19,1,,,,,,,,,,,,,,,,,
Galactic Adventures_29.png,Antoro,Stage 2,Neutral,Antoro.png,,Antaray,40,54,65,45,88,19,Ant March,19,1,,,Neutral Bite,0,4,Attack,45%,,,,,,,,,,
Galactic Adventures_30.png,Antaray,Stage 3,Neutral,Antaray.png,,,,69,84,69,95,139,Ant March,19,1,,,Neutral Bite,0,4,Attack,45%,Colony Push,49,7,,,Trail Charge,71,9,,
Galactic Adventures_31.png,Meerkool Order,Stage 1,Neutral,Meerkool Order.png,1,,,70,45,70,45,132,Ordered Strike,27,1,,,Calm Swipe,37,3,,,Balanced Guard,0,6,Defence,40%,Neutral Stance,68,9,,
Galactic Adventures_32.png,Meerkool Chaos,Stage 1,Neutral,Meerkool Chaos.png,1,,,45,70,45,70,132,Chaotic Swipe,27,1,,,Wild Bash,37,3,,,Frenzy Leap,0,6,Attack,40%,Disorder Crash,68,9,,
Galactic Adventures_33.png,Pangolilly,Stage 1,Neutral,Pangolilly.png,3,Pangomancer,25,56,44,77,50,67,Roll Bloom,24,1,,,Petal Bash,43,4,,,,,,,,,,,,
Galactic Adventures_34.png,Pangomancer,Stage 2,Neutral,Pangomancer.png,,Pangodice,50,76,58,80,50,67,Roll Bloom,24,1,,,Petal Bash,43,4,,,Neutral Curl,0,6,Attack,40%,,,,,
Galactic Adventures_35.png,Pangodice,Stage 3,Neutral,Pangodice.png,,,,100,80,90,55,134,Roll Bloom,24,1,,,Petal Bash,43,4,,,Neutral Curl,0,6,Attack,40%,Floral Slam,67,9,,
Galactic Adventures_36.png,Mousuck,Stage 1,Neutral,Mousuck.png,2,Mousuckler,25,25,50,25,60,67,Squeak Dash,27,1,,,Tail Flick,40,4,,,,,,,,,,,,
Galactic Adventures_37.png,Mousuckler,Stage 2,Neutral,Mousuckler.png,,Mousucklord,50,45,70,45,70,67,Squeak Dash,27,1,,,Tail Flick,40,4,,,,,,,,,,,,
Galactic Adventures_38.png,Mousucklord,Stage 3,Neutral,Mousucklord.png,,,,65,90,65,80,134,Squeak Dash,27,1,,,Tail Flick,40,4,,,Neutral Scamper,67,5,,,Quick Nibble,0,9,Speed,40%
Galactic Adventures_39.png,Platypog,Stage 1,Neutral,Platypog.png,3,Fluffbill,30,50,50,50,50,67,Pog Punch,17,1,,,Tail Slap,0,2,Attack,45%,Neutral Plop,50,5,,,,,,,
Galactic Adventures_40.png,Fluffbill,Stage 2,Neutral,Fluffbill.png,,,,90,67,77,55,128,Pog Punch,17,1,,,Tail Slap,0,2,Attack,45%,Neutral Plop,50,5,,,Mud Bounce,61,9,,
Galactic Adventures_41.png,Goggly,Stage 1,Neutral,Goggly.png,1,,,30,30,30,150,137,Eye Pop,24,1,,,Bounce Blink,47,3,,,Neutral Wiggle,66,5,,,Hyper Stare,0,8,Speed,50%
Galactic Adventures_42.png,Cloudlet,Stage 1,Neutral,Cloudlet.png,2,Cloudboss,25,50,65,45,45,60,Puff Push,18,1,,,Mist Bash,42,3,,,,,,,,,,,,
Galactic Adventures_43.png,Cloudboss,Stage 2,Neutral,Cloudboss.png,,,,70,88,70,65,137,Puff Push,18,1,,,Mist Bash,42,3,,,Neutral Drift,0,6,Defence,45%,Soft Slam,77,9,,
Galactic Adventures_44.png,Sadotter,Stage 1,Neutral,Sadotter.png,3,Weeweep,25,60,45,50,40,74,Tear Swipe,23,1,,,Sorrow Splash,0,3,Defence,45%,Neutral Whimper,51,6,,,,,,,
Galactic Adventures_45.png,Weeweep,Stage 2,Neutral,Weeweep.png,,Melanchote,50,82,56,81,43,74,Tear Swipe,23,1,,,Sorrow Splash,0,3,Defence,45%,Neutral Whimper,51,6,,,,,,,
Galactic Adventures_46.png,Melanchote,Stage 3,Neutral,Melanchote.png,,,,105,82,90,44,147,Tear Swipe,23,1,,,Sorrow Splash,0,3,Defence,45%,Neutral Whimper,51,6,,,Crying Crash,73,8,,
Galactic Adventures_47.png,Starraffe,Stage 1,Celestial,Starraffe.png,5,,,78,100,75,100,143,Star Kick,26,1,,,Cosmic Neck,54,4,,,Galaxy Step,63,6,,,Stellar Bash,0,8,Speed,50%
Galactic Adventures_48.png,Trunket,Stage 1,Celestial,Trunket.png,2,Elefeir,25,80,50,50,25,66,Cosmic Trunk,19,1,,,Star Stomp,47,3,,,,,,,,,,,,
Galactic Adventures_49.png,Elefeir,Stage 2,Celestial,Elefeir.png,,Planterdon,50,100,65,56,25,66,Cosmic Trunk,19,1,,,Star Stomp,47,3,,,Nebula Push,0,6,Attack,45%,,,,,
Galactic Adventures_50.png,Planterdon,Stage 3,Celestial,Planterdon.png,,,,130,73,90,30,148,Cosmic Trunk,19,1,,,Star Stomp,47,3,,,Nebula Push,0,6,Attack,45%,Celestial Swing,82,10,,
Galactic Adventures_51.png,Lumifloris,Stage 1,Celestial,Lumifloris.png,1,Photosynthra,25,33,70,45,54,68,Light Bloom,20,1,,,Radiant Petal,0,4,Attack,40%,Glow Burst,48,7,,,,,,,
Galactic Adventures_52.png,Photosynthra,Stage 2,Celestial,Photosynthra.png,,,,57,98,66,68,134,Light Bloom,20,1,,,Radiant Petal,0,4,Attack,40%,Glow Burst,48,7,,,Solar Sprout,66,8,,
Galactic Adventures_53.png,Nebuleap,Stage 1,Celestial,Nebuleap.png,1,Comiscroaker,25,40,43,45,50,71,Nebula Hop,27,1,,,Cosmic Leap,44,3,,,,,,,,,,,,
Galactic Adventures_54.png,Comiscroaker,Stage 2,Celestial,Comiscroaker.png,,,,70,70,70,70,145,Nebula Hop,27,1,,,Cosmic Leap,44,3,,,Starbound Dash,0,5,Defence,40%,Void Bounce,74,9,,
Galactic Adventures_55.png,Crocasprout,Stage 1,Celestial,Crocasprout.png,3,Crocablade,20,60,65,70,45,27,Sprout Slash,27,1,,,,,,,,,,,,,,,,,
Galactic Adventures_56.png,Crocablade,Stage 2,Celestial,Crocablade.png,,Crocaterra,45,86,67,75,50,120,Sprout Slash,27,1,,,Cosmic Bud,34,3,,,Celestial Root,59,6,,,,,,,
Galactic Adventures_57.png,Crocaterra,Stage 3,Celestial,Crocaterra.png,,,,102,93,78,66,120,Sprout Slash,27,1,,,Cosmic Bud,34,3,,,Celestial Root,59,6,,,Star Bloom,0,8,Attack,40%
Galactic Adventures_58.png,Beanling,Stage 1,Celestial,Beanling.png,3,Beanleaf,25,10,80,23,55,64,Bean Dash,25,1,,,Cosmic Sprout,39,4,,,,,,,,,,,,
Galactic Adventures_59.png,Beanleaf,Stage 2,Celestial,Beanleaf.png,,Beanknight,50,30,90,45,60,64,Bean Dash,25,1,,,Cosmic Sprout,39,4,,,,,,,,,,,,
Galactic Adventures_60.png,Beanknight,Stage 3,Celestial,Beanknight.png,,,,67,115,66,78,135,Bean Dash,25,1,,,Cosmic Sprout,39,4,,,Star Flick,0,7,Speed,40%,Nebula Roll,71,8,,
Galactic Adventures_61.png,Astrollus,Stage 1,Celestial,Astrollus.png,4,,,83,82,89,90,150,Astral Charge,24,1,,,Cosmic Guard,57,4,,,Star Pulse,0,6,Defense,40%,Astroll Slam,69,9,,
Galactic Adventures_62.png,Laugherry,Stage 1,Celestial,Laugherry.png,2,Gigglewood,25,25,20,50,55,64,Giggle Pop,19,1,,,Star Chuckle,0,2,Speed,40%,Cosmic Tickle,45,6,,,,,,,
Galactic Adventures_63.png,Gigglewood,Stage 2,Celestial,Gigglewood.png,,,,67,65,64,100,134,Giggle Pop,19,1,,,Star Chuckle,0,2,Speed,40%,Cosmic Tickle,45,6,,,Laugh Burst,70,8,,
Galactic Adventures_64.png,Steellamb,Stage 1,Mechanic,Steellamb.png,2,Pigmoat,25,45,65,55,25,70,Metal Kick,27,1,,,Gear Bash,43,2,,,,,,,,,,,,
Galactic Adventures_65.png,Pigmoat,Stage 2,Mechanic,Pigmoat.png,,,,78,78,76,60,135,Metal Kick,27,1,,,Gear Bash,43,2,,,Iron Charge,0,6,Attack,45%,Steel Stomp,65,8,,
Galactic Adventures_66.png,Lithogarde,Stage 1,Mechanic,Lithogarde.png,2,Gallicore,25,66,54,88,25,130,Stone Guard,27,1,,,Gear Shield,46,4,,,Rock Pulse,57,7,,,Iron Wall,0,8,Defence,45%
Galactic Adventures_67.png,Gallicore,Stage 2,Mechanic,Gallicore.png,,Notreclast,50,68,59,99,25,130,Stone Guard,27,1,,,Gear Shield,46,4,,,Rock Pulse,57,7,,,Iron Wall,0,8,Defence,45%
Galactic Adventures_68.png,Notreclast,Stage 3,Mechanic,Notreclast.png,,,,76,78,111,30,130,Stone Guard,27,1,,,Gear Shield,46,4,,,Rock Pulse,57,7,,,Iron Wall,0,8,Defence,45%
Galactic Adventures_69.png,Gearpup,Stage 1,Mechanic,Gearpup.png,1,Gearstrike,25,50,50,80,40,132,Gear Bite,22,1,,,Bolt Bark,44,4,,,Metal Scamper,66,6,,,,,,,
Galactic Adventures_70.png,Gearstrike,Stage 2,Mechanic,Gearstrike.png,,,,66,67,89,79,132,Gear Bite,22,1,,,Bolt Bark,44,4,,,Metal Scamper,66,6,,,Cog Crash,0,9,Attack,45%
Galactic Adventures_71.png,Steelspirit,Stage 1,Mechanic,Steelspirit.png,4,,,60,70,111,78,132,Spirit Gear,26,1,,,Iron Drift,45,2,,,Steel Pulse,61,6,,,Mechanic Dash,0,9,Speed,50%
Galactic Adventures_72.png,Auregear,Stage 1,Mechanic,Auregear.png,3,Mechalumin,25,45,76,75,36,69,Golden Gear,18,1,,,Shine Strike,0,3,Attack,40%,Radiant Bolt,51,5,,,,,,,
Galactic Adventures_73.png,Mechalumin,Stage 2,Mechanic,Mechalumin.png,,Stilflare,50,67,67,84,56,69,Golden Gear,18,1,,,Shine Strike,0,3,Attack,40%,Radiant Bolt,51,5,,,,,,,
Galactic Adventures_74.png,Stilflare,Stage 3,Mechanic,Stilflare.png,,,,78,88,89,67,144,Golden Gear,18,1,,,Shine Strike,0,3,Attack,40%,Radiant Bolt,51,5,,,Alloy Bash,75,9,,
Galactic Adventures_75.png,Metalmagma,Stage 1,Mechanic,Metalmagma.png,5,,,100,92,100,60,148,Magma Punch,34,1,,,Molten Gear,39,3,,,Lava Bash,0,5,Attack,45%,Heat Crash,75,8,,
Galactic Adventures_76.png,Gadgetrix,Stage 1,Mechanic,Gadgetrix.png,3,Teklash,35,64,60,68,60,59,Gadget Pop,23,1,,,Circuit Flick,36,2,,,,,,,,,,,,
Galactic Adventures_77.png,Teklash,Stage 2,Mechanic,Teklash.png,,,,67,76,80,102,127,Gadget Pop,23,1,,,Circuit Flick,36,2,,,Tech Burst,0,6,Speed,45%,Spark Spin,68,8,,
